employee_ssn,employee_role,employee_birth_date,employee_hire_date,employee_termination_date,employee_gross_compensation,employee_plan_year_compensation,employee_capped_compensation,employee_deferral_rate,employee_contribution,employer_core_contribution,employer_match_contribution,eligibility_entry_date,is_eligible,is_participating
DUMMY_NH_167422_000000,Staff,1969-07-03,2024-04-05,2024-06-13,48347.4,48347.4,48347.4,5,24000.0,0.0,0.0,2024-04-05,False,True
DUMMY_NH_659816_000001,Staff,1974-02-07,2024-06-18,,36826.75,36826.75,36826.75,1,24000.0,0.0,1104.8025,2024-06-18,True,True
DUMMY_NH_460011_000002,Manager,1982-07-28,2024-11-16,2024-11-21,118647.29,118647.29,118647.29,3,24000.0,0.0,0.0,2024-11-16,False,True
DUMMY_NH_403910_000003,Staff,1977-06-15,2024-10-15,2024-11-30,51971.11,51971.11,51971.11,5,24000.0,0.0,0.0,2024-10-15,False,True
DUMMY_NH_966523_000004,Staff,1984-04-19,2024-11-24,2024-12-23,70771.91,70771.91,70771.91,3,24000.0,0.0,0.0,2024-11-24,False,True
DUMMY_NH_591022_000005,Manager,1968-02-04,2024-03-06,,82519.88,82519.88,82519.88,0,0.0,0.0,0.0,2024-03-06,True,False
DUMMY_NH_412176_000006,Staff,1986-06-03,2024-07-14,,67187.87,67187.87,67187.87,3,24000.0,0.0,2015.6360999999997,2024-07-14,True,True
DUMMY_NH_672852_000007,Manager,1980-12-26,2024-04-05,,99284.46,99284.46,99284.46,3,24000.0,0.0,2978.5338,2024-04-05,True,True
DUMMY_NH_758647_000008,Executive,1993-12-25,2024-03-05,,182278.58,182278.58,182278.58,5,24000.0,0.0,5468.357399999999,2024-03-05,True,True
DUMMY_NH_961503_000009,Manager,1992-03-10,2024-07-18,,79734.98,79734.98,79734.98,5,24000.0,0.0,2392.0494,2024-07-18,True,True
DUMMY_NH_757446_000010,Staff,1986-11-26,2024-10-22,,53336.83,53336.83,53336.83,2,24000.0,0.0,1600.1049,2024-10-22,True,True
DUMMY_NH_208360_000011,Staff,1988-03-21,2024-06-25,,41616.93,41616.93,41616.93,10,24000.0,0.0,1248.5079,2024-06-25,True,True
DUMMY_NH_927086_000012,Staff,1980-11-26,2024-01-12,,49723.85,49723.85,49723.85,3,24000.0,0.0,1491.7154999999998,2024-01-12,True,True
DUMMY_NH_875751_000013,Staff,1981-01-12,2024-08-15,,51994.89,51994.89,51994.89,3,24000.0,0.0,1559.8466999999998,2024-08-15,True,True
DUMMY_NH_951440_000014,Manager,1994-07-21,2024-05-06,,70527.04,70527.04,70527.04,3,24000.0,0.0,2115.8111999999996,2024-05-06,True,True
DUMMY_NH_114638_000015,Staff,1996-08-27,2024-10-31,,43483.87,43483.87,43483.87,5,24000.0,0.0,1304.5161,2024-10-31,True,True
DUMMY_NH_351080_000016,Staff,1980-10-10,2024-10-16,,48017.83,48017.83,48017.83,3,24000.0,0.0,1440.5349,2024-10-16,True,True
DUMMY_NH_834133_000017,Staff,1978-03-08,2024-03-28,,54821.59,54821.59,54821.59,0,0.0,0.0,0.0,2024-03-28,True,False
DUMMY_NH_863601_000018,Staff,1978-11-20,2024-02-16,,48126.22,48126.22,48126.22,3,24000.0,0.0,1443.7866,2024-02-16,True,True
DUMMY_NH_821557_000019,Manager,1993-04-02,2024-02-29,,84667.48,84667.48,84667.48,3,24000.0,0.0,2540.0244,2024-02-29,True,True
DUMMY_NH_419885_000020,Manager,1969-02-03,2024-10-16,,78284.62,78284.62,78284.62,0,0.0,0.0,0.0,2024-10-16,True,False
DUMMY_NH_208858_000021,Manager,1976-02-11,2024-01-09,,129438.29,129438.29,129438.29,4,24000.0,0.0,3883.1486999999997,2024-01-09,True,True
DUMMY_NH_209087_000022,Executive,2003-08-25,2024-10-09,2024-10-27,197154.49,197154.49,197154.49,3,24000.0,0.0,0.0,2024-10-09,False,True
DUMMY_NH_337554_000023,Staff,1983-12-16,2024-08-11,,45140.74,45140.74,45140.74,3,24000.0,0.0,1354.2222,2024-08-11,True,True
DUMMY_NH_105639_000024,Staff,1967-09-13,2024-02-28,,60364.77,60364.77,60364.77,0,0.0,0.0,0.0,2024-02-28,True,False
DUMMY_NH_540048_000025,Staff,1976-06-05,2024-09-30,,62665.88,62665.88,62665.88,5,24000.0,0.0,1879.9763999999998,2024-09-30,True,True
DUMMY_NH_793246_000026,Staff,1987-07-20,2024-04-15,,50543.78,50543.78,50543.78,3,24000.0,0.0,1516.3134,2024-04-15,True,True
DUMMY_NH_671234_000027,Manager,1975-04-12,2024-12-11,2024-12-11,119624.99,119624.99,119624.99,7,24000.0,0.0,0.0,2024-12-11,False,True
DUMMY_NH_376606_000028,Staff,1986-05-02,2024-07-01,,41041.95,41041.95,41041.95,3,24000.0,0.0,1231.2585,2024-07-01,True,True
DUMMY_NH_962290_000029,Staff,1989-03-15,2024-07-31,,65256.43,65256.43,65256.43,2,24000.0,0.0,1957.6929,2024-07-31,True,True
DUMMY_NH_816948_000030,Staff,1982-08-08,2024-06-21,,46853.63,46853.63,46853.63,0,0.0,0.0,0.0,2024-06-21,True,False
DUMMY_NH_998567_000031,Manager,1994-08-12,2024-07-30,,89122.42,89122.42,89122.42,6,24000.0,0.0,2673.6726,2024-07-30,True,True
DUMMY_NH_604386_000032,Executive,1989-11-22,2024-04-23,,256369.43,256369.43,256369.43,3,24000.0,0.0,7691.082899999999,2024-04-23,True,True
DUMMY_NH_837130_000033,Manager,1967-02-27,2024-04-23,,129495.99,129495.99,129495.99,3,24000.0,0.0,3884.8797,2024-04-23,True,True
DUMMY_NH_835748_000034,Executive,1981-02-26,2024-04-03,,178137.73,178137.73,178137.73,3,24000.0,0.0,5344.1319,2024-04-03,True,True
DUMMY_NH_598820_000035,Staff,1981-02-01,2024-03-12,2024-04-07,54577.57,54577.57,54577.57,4,24000.0,0.0,0.0,2024-03-12,False,True
DUMMY_NH_725304_000036,Manager,1988-07-03,2024-02-03,,87762.99,87762.99,87762.99,3,24000.0,0.0,2632.8897,2024-02-03,True,True
DUMMY_NH_617867_000037,Executive,1977-04-16,2024-03-31,,379470.57,379470.57,355000.0,4,24000.0,0.0,10650.0,2024-03-31,True,True
DUMMY_NH_274408_000038,Manager,1973-04-10,2024-02-17,2024-07-14,128260.36,128260.36,128260.36,0,0.0,0.0,0.0,2024-02-17,False,False
DUMMY_NH_541250_000039,Staff,1988-04-14,2024-05-12,,46239.87,46239.87,46239.87,0,0.0,0.0,0.0,2024-05-12,True,False
DUMMY_NH_963895_000040,Manager,1991-10-22,2024-11-06,,82512.68,82512.68,82512.68,5,24000.0,0.0,2475.3803999999996,2024-11-06,True,True
DUMMY_NH_326589_000041,Staff,1976-12-15,2024-08-01,2024-08-12,52590.25,52590.25,52590.25,3,24000.0,0.0,0.0,2024-08-01,False,True
DUMMY_NH_274361_000042,Staff,1984-09-17,2024-02-06,,55847.29,55847.29,55847.29,3,24000.0,0.0,1675.4187,2024-02-06,True,True
DUMMY_NH_104371_000043,Manager,1971-04-21,2024-04-21,,140727.44,140727.44,140727.44,5,24000.0,0.0,4221.8232,2024-04-21,True,True
DUMMY_NH_160080_000044,Executive,1993-01-24,2024-03-13,2024-10-30,392136.46,392136.46,355000.0,6,24000.0,0.0,0.0,2024-03-13,False,True
DUMMY_NH_140114_000045,Manager,1962-03-05,2024-11-26,2024-12-19,119284.05,119284.05,119284.05,2,24000.0,0.0,0.0,2024-11-26,False,True
DUMMY_NH_731737_000046,Manager,1998-01-10,2024-11-14,,79963.64,79963.64,79963.64,4,24000.0,0.0,2398.9092,2024-11-14,True,True
DUMMY_NH_348839_000047,Manager,1980-04-18,2024-05-29,,103201.14,103201.14,103201.14,3,24000.0,0.0,3096.0342,2024-05-29,True,True
DUMMY_NH_284742_000048,Staff,1975-12-03,2024-01-28,,53444.92,53444.92,53444.92,3,24000.0,0.0,1603.3475999999998,2024-01-28,True,True
DUMMY_NH_498988_000049,Staff,1978-01-13,2024-10-15,,39921.16,39921.16,39921.16,3,24000.0,0.0,1197.6348,2024-10-15,True,True
DUMMY_NH_360695_000050,Staff,1988-03-16,2024-07-13,,39288.95,39288.95,39288.95,6,24000.0,0.0,1178.6684999999998,2024-07-13,True,True
DUMMY_NH_127460_000051,Staff,1994-07-07,2024-01-04,,45508.96,45508.96,45508.96,3,24000.0,0.0,1365.2687999999998,2024-01-04,True,True
DUMMY_NH_226524_000052,Staff,1981-08-21,2024-03-11,,40465.59,40465.59,40465.59,0,0.0,0.0,0.0,2024-03-11,True,False
DUMMY_NH_459364_000053,Staff,1987-09-10,2024-07-02,,51223.69,51223.69,51223.69,4,24000.0,0.0,1536.7107,2024-07-02,True,True
DUMMY_NH_373884_000054,Staff,1977-05-02,2024-09-07,2024-10-11,50281.38,50281.38,50281.38,5,24000.0,0.0,0.0,2024-09-07,False,True
DUMMY_NH_570880_000055,Staff,1983-09-12,2024-12-24,2024-12-24,41346.05,41346.05,41346.05,3,24000.0,0.0,0.0,2024-12-24,False,True
DUMMY_NH_222261_000056,Executive,1983-02-25,2024-07-26,2024-11-10,193614.72,193614.72,193614.72,3,24000.0,0.0,0.0,2024-07-26,False,True
DUMMY_NH_424992_000057,Staff,1979-03-24,2024-07-26,,67257.99,67257.99,67257.99,3,24000.0,0.0,2017.7397,2024-07-26,True,True
DUMMY_NH_915383_000058,Staff,1989-07-05,2024-04-10,,38534.76,38534.76,38534.76,5,24000.0,0.0,1156.0428,2024-04-10,True,True
DUMMY_NH_429032_000059,Staff,1998-07-17,2024-12-19,2024-12-28,46240.08,46240.08,46240.08,3,24000.0,0.0,0.0,2024-12-19,False,True
DUMMY_NH_232193_000060,Staff,1987-12-11,2024-12-14,2024-12-19,35042.72,35042.72,35042.72,5,24000.0,0.0,0.0,2024-12-14,False,True
DUMMY_NH_792556_000061,Staff,1968-12-06,2024-04-13,,49869.49,49869.49,49869.49,3,24000.0,0.0,1496.0846999999999,2024-04-13,True,True
DUMMY_NH_838140_000062,Staff,1982-09-17,2024-07-24,,50150.26,50150.26,50150.26,3,24000.0,0.0,1504.5078,2024-07-24,True,True
DUMMY_NH_784331_000063,Manager,1978-02-03,2024-01-13,,127549.29,127549.29,127549.29,3,24000.0,0.0,3826.4786999999997,2024-01-13,True,True
DUMMY_NH_756050_000064,Staff,1972-09-07,2024-05-05,2024-10-17,67200.38,67200.38,67200.38,3,24000.0,0.0,0.0,2024-05-05,False,True
DUMMY_NH_956093_000065,Staff,1986-10-03,2024-07-02,,42296.96,42296.96,42296.96,10,24000.0,0.0,1268.9088,2024-07-02,True,True
DUMMY_NH_801834_000066,Staff,1990-06-18,2024-06-12,,47931.09,47931.09,47931.09,10,24000.0,0.0,1437.9326999999998,2024-06-12,True,True
DUMMY_NH_644171_000067,Executive,1977-09-05,2024-03-27,,491354.16,491354.16,355000.0,3,24000.0,0.0,10650.0,2024-03-27,True,True
DUMMY_NH_595730_000068,Staff,1986-11-19,2024-05-20,,49930.55,49930.55,49930.55,3,24000.0,0.0,1497.9165,2024-05-20,True,True
DUMMY_NH_281985_000069,Executive,1978-10-16,2024-06-17,2024-11-11,292932.75,292932.75,292932.75,3,24000.0,0.0,0.0,2024-06-17,False,True
DUMMY_NH_701383_000070,Executive,1970-04-05,2024-12-31,,181442.17,181442.17,181442.17,3,24000.0,0.0,5443.2651000000005,2024-12-31,True,True
DUMMY_NH_628105_000071,Staff,1993-10-10,2024-11-12,,45838.98,45838.98,45838.98,3,24000.0,0.0,1375.1694,2024-11-12,True,True
DUMMY_NH_568533_000072,Executive,1983-12-10,2024-07-03,,197736.16,197736.16,197736.16,0,0.0,0.0,0.0,2024-07-03,True,False
DUMMY_NH_647055_000073,Staff,1994-05-02,2024-12-09,2024-12-28,46024.21,46024.21,46024.21,3,24000.0,0.0,0.0,2024-12-09,False,True
DUMMY_NH_329157_000074,Staff,1988-12-24,2024-02-28,,51414.89,51414.89,51414.89,3,24000.0,0.0,1542.4467,2024-02-28,True,True
DUMMY_NH_519788_000075,Manager,1993-11-22,2024-05-05,2024-12-03,91701.7,91701.7,91701.7,10,24000.0,0.0,0.0,2024-05-05,False,True
DUMMY_NH_526710_000076,Staff,1989-05-24,2024-04-02,,45738.19,45738.19,45738.19,6,24000.0,0.0,1372.1457,2024-04-02,True,True
DUMMY_NH_148407_000077,Staff,1983-09-14,2024-04-18,,45307.52,45307.52,45307.52,10,24000.0,0.0,1359.2255999999998,2024-04-18,True,True
DUMMY_NH_228880_000078,Staff,1989-06-01,2024-10-05,,45988.72,45988.72,45988.72,3,24000.0,0.0,1379.6616,2024-10-05,True,True
DUMMY_NH_222523_000079,Manager,1981-10-25,2024-02-26,,66577.58,66577.58,66577.58,3,24000.0,0.0,1997.3274,2024-02-26,True,True
DUMMY_NH_392129_000080,Manager,1986-10-13,2024-01-28,2024-12-20,107083.06,107083.06,107083.06,7,24000.0,0.0,0.0,2024-01-28,False,True
DUMMY_NH_903545_000081,Staff,2001-10-04,2024-02-07,,50032.71,50032.71,50032.71,3,24000.0,0.0,1500.9813,2024-02-07,True,True
DUMMY_NH_665470_000082,Manager,1995-10-06,2024-10-27,2024-11-08,77088.63,77088.63,77088.63,2,24000.0,0.0,0.0,2024-10-27,False,True
DUMMY_NH_808866_000083,Staff,1981-04-23,2024-02-07,,40952.01,40952.01,40952.01,3,24000.0,0.0,1228.5603,2024-02-07,True,True
DUMMY_NH_989327_000084,Manager,1974-12-23,2024-12-17,2024-12-27,82052.83,82052.83,82052.83,5,24000.0,0.0,0.0,2024-12-17,False,True
DUMMY_NH_567394_000085,Staff,1971-02-08,2024-12-19,2024-12-31,61629.32,61629.32,61629.32,2,24000.0,0.0,0.0,2024-12-19,False,True
DUMMY_NH_741213_000086,Staff,1977-07-06,2024-09-25,2024-12-28,51385.62,51385.62,51385.62,3,24000.0,0.0,0.0,2024-09-25,False,True
DUMMY_NH_639027_000087,Manager,1982-07-12,2024-05-26,2024-05-28,79316.5,79316.5,79316.5,2,24000.0,0.0,0.0,2024-05-26,False,True
DUMMY_NH_425271_000088,Executive,1988-12-11,2024-12-15,2024-12-16,431622.87,431622.87,355000.0,6,24000.0,0.0,0.0,2024-12-15,False,True
