ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_356000_000001,Manager,1979-04-10,2018-02-13,,140124.14,140124.14,140124.14,3,4203.72,2802.48,4203.72
DUMMY_EX_474860_000002,Executive,1976-10-19,2016-12-13,,458318.95,458318.95,345000.0,4,18332.76,9166.38,13749.57
DUMMY_EX_216872_000003,Staff,1958-05-14,2011-08-14,,80384.01,80384.01,80384.01,5,4019.2,1607.68,2411.52
DUMMY_EX_800071_000004,Staff,1962-04-26,2013-09-08,,70270.77,70270.77,70270.77,4,2810.83,1405.42,2108.12
DUMMY_EX_145963_000005,Manager,1983-11-10,2018-06-27,,158168.59,158168.59,158168.59,3,4745.06,3163.37,4745.06
DUMMY_EX_746347_000006,Manager,1977-04-06,2011-09-13,,213465.07,213465.07,213465.07,0,0.0,4269.3,0.0
DUMMY_EX_571821_000007,Staff,1993-11-19,2024-08-28,,54822.54,18723.55,18723.55,3,561.71,374.47,561.71
DUMMY_EX_137065_000008,Staff,1974-09-21,2012-02-04,,53251.27,53251.27,53251.27,7,3727.59,1065.03,1597.54
DUMMY_EX_384482_000009,Staff,1989-04-25,2021-11-02,,61274.87,61274.87,61274.87,10,6127.49,1225.5,1838.25
DUMMY_EX_243932_000010,Staff,1964-09-24,2018-02-19,,84477.41,84477.41,84477.41,6,5068.64,1689.55,2534.32
DUMMY_EX_711906_000011,Staff,1992-03-09,2017-05-15,,50463.82,50463.82,50463.82,0,0.0,1009.28,0.0
DUMMY_EX_227469_000012,Manager,1972-05-24,2023-09-21,,206296.07,206296.07,206296.07,0,0.0,4125.92,0.0
DUMMY_EX_528265_000013,Staff,1970-02-18,2011-02-08,,84635.59,84635.59,84635.59,4,3385.42,1692.71,2539.07
DUMMY_EX_652163_000014,Staff,1974-01-13,2015-09-14,,81339.79,81339.79,81339.79,4,3253.59,1626.8,2440.19
DUMMY_EX_365337_000015,Staff,1988-08-28,2010-05-23,,39582.75,39582.75,39582.75,5,1979.14,791.66,1187.48
DUMMY_EX_832207_000016,Manager,1968-04-06,2019-06-23,,124932.64,124932.64,124932.64,3,3747.98,2498.65,3747.98
DUMMY_EX_270897_000017,Manager,1995-06-20,2022-08-05,,180047.9,180047.9,180047.9,9,16204.31,3600.96,5401.44
DUMMY_EX_372255_000018,Staff,1981-01-12,2016-01-03,,51999.73,51999.73,51999.73,4,2079.99,1039.99,1559.99
DUMMY_EX_851198_000019,Staff,1991-08-16,2020-11-07,,53525.05,53525.05,53525.05,3,1605.75,1070.5,1605.75
DUMMY_EX_534243_000020,Staff,1992-01-07,2015-06-17,,86267.2,86267.2,86267.2,3,2588.02,1725.34,2588.02
DUMMY_EX_214626_000021,Staff,1991-10-01,2017-07-11,,54684.16,54684.16,54684.16,5,2734.21,1093.68,1640.52
DUMMY_EX_155048_000022,Manager,1977-06-25,2014-10-19,,242055.21,242055.21,242055.21,1,2420.55,4841.1,2420.55
DUMMY_EX_528932_000023,Staff,1985-11-15,2021-12-17,,58779.91,58779.91,58779.91,1,587.8,1175.6,587.8
DUMMY_EX_627408_000024,Staff,1980-11-18,2013-05-07,,70949.83,70949.83,70949.83,0,0.0,1419.0,0.0
DUMMY_EX_581767_000025,Manager,1984-05-08,2016-12-01,,149729.28,149729.28,149729.28,3,4491.88,2994.59,4491.88
DUMMY_EX_346380_000026,Staff,1983-06-14,2010-05-01,,53827.42,53827.42,53827.42,2,1076.55,1076.55,1076.55
DUMMY_EX_484555_000027,Staff,1970-11-04,2014-08-12,,66063.75,66063.75,66063.75,1,660.64,1321.28,660.64
DUMMY_EX_498024_000028,Staff,1997-08-07,2018-07-16,,48870.79,48870.79,48870.79,4,1954.83,977.42,1466.12
DUMMY_EX_564903_000029,Staff,1994-02-11,2019-07-27,,50001.96,50001.96,50001.96,5,2500.1,1000.04,1500.06
DUMMY_EX_383429_000030,Staff,1974-12-06,2020-10-20,,48159.75,48159.75,48159.75,0,0.0,963.2,0.0
DUMMY_EX_239440_000031,Staff,1977-06-02,2016-06-09,,65034.72,65034.72,65034.72,4,2601.39,1300.69,1951.04
DUMMY_EX_128621_000032,Staff,1989-03-26,2014-05-29,,58416.53,58416.53,58416.53,3,1752.5,1168.33,1752.5
DUMMY_EX_718104_000033,Staff,1979-05-17,2021-12-11,,53909.54,53909.54,53909.54,0,0.0,1078.19,0.0
DUMMY_EX_337360_000034,Manager,1993-11-15,2015-08-22,,249989.79,249989.79,249989.79,10,23000.0,4999.8,7499.69
DUMMY_EX_932000_000035,Staff,1980-10-02,2007-07-19,,57990.51,57990.51,57990.51,7,4059.34,1159.81,1739.72
DUMMY_EX_906601_000036,Manager,1990-12-04,2021-08-18,,133100.0,133100.0,133100.0,0,0.0,2662.0,0.0
DUMMY_EX_885593_000037,Staff,1999-07-28,2021-07-20,,47899.29,47899.29,47899.29,4,1915.97,957.99,1436.98
DUMMY_EX_243131_000038,Staff,1993-06-12,2024-12-06,,44518.49,3040.88,3040.88,3,91.23,60.82,91.23
DUMMY_EX_186589_000039,Staff,1963-06-14,2023-03-14,,58050.07,58050.07,58050.07,5,2902.5,1161.0,1741.5
DUMMY_EX_593695_000040,Staff,1972-09-12,2018-02-06,,55767.12,55767.12,55767.12,3,1673.01,1115.34,1673.01
DUMMY_EX_235570_000041,Manager,1992-10-18,2013-09-03,,154502.49,154502.49,154502.49,4,6180.1,3090.05,4635.07
DUMMY_EX_926026_000042,Staff,1990-06-05,2014-02-28,,40349.07,40349.07,40349.07,10,4034.91,806.98,1210.47
DUMMY_EX_196872_000043,Staff,1985-08-19,2024-04-30,,43507.07,29123.59,29123.59,0,0.0,582.47,0.0
DUMMY_EX_937396_000044,Staff,1986-09-09,2017-09-07,,54135.18,54135.18,54135.18,1,541.35,1082.7,541.35
DUMMY_EX_948785_000045,Manager,2005-11-27,2024-04-17,,148466.94,104657.02,104657.02,3,3139.71,2093.14,3139.71
DUMMY_EX_214305_000046,Staff,1983-02-05,2013-09-12,,66713.5,66713.5,66713.5,4,2668.54,1334.27,2001.4
DUMMY_EX_452262_000047,Staff,1989-05-01,2018-03-19,,68048.14,68048.14,68048.14,0,0.0,1360.96,0.0
DUMMY_EX_207162_000048,Staff,1981-02-02,2006-04-15,,58204.07,58204.07,58204.07,3,1746.12,1164.08,1746.12
DUMMY_EX_591477_000049,Staff,1995-03-11,2022-03-16,,43323.83,43323.83,43323.83,6,2599.43,866.48,1299.71
DUMMY_EX_165090_000050,Staff,1999-07-01,2020-04-16,,60871.23,60871.23,60871.23,1,608.71,1217.42,608.71
