ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_NH_182375_000000,Staff,1992-01-09,2023-04-01 00:00:00.000000,,42152.42,31758.67,31758.67,3,952.76,0.0,476.38
DUMMY_NH_507605_000001,Staff,1978-10-01,2023-12-19 00:00:00.000000,2023-12-23,61017.55,835.86,835.86,3,25.08,0.0,12.54
DUMMY_NH_339556_000002,Staff,1982-04-19,2023-04-09 00:00:00.000000,2023-08-16,51507.24,18345.04,18345.04,3,550.35,0.0,275.18
DUMMY_NH_959071_000003,Manager,1980-10-07,2023-01-13 00:00:00.000000,,134159.1,129748.39,129748.39,3,3892.45,0.0,1946.22
DUMMY_NH_190353_000004,Staff,1986-10-06,2023-11-09 00:00:00.000000,2023-11-27,45390.73,2362.81,2362.81,4,94.51,0.0,47.26
DUMMY_NH_195776_000005,Staff,1996-06-07,2023-10-05 00:00:00.000000,2023-12-26,46583.35,10592.93,10592.93,3,317.79,0.0,158.9
DUMMY_NH_795907_000006,Executive,1987-05-25,2023-09-21 00:00:00.000000,2023-11-11,131079.66,18674.36,18674.36,7,1307.21,0.0,560.23
DUMMY_NH_773242_000007,Staff,1990-02-02,2023-09-05 00:00:00.000000,,50710.95,16394.22,16394.22,3,491.83,0.0,245.92
DUMMY_NH_118133_000008,Staff,1996-10-01,2023-12-09 00:00:00.000000,2023-12-30,39377.95,2373.47,2373.47,3,71.2,0.0,35.6
DUMMY_NH_915884_000009,Staff,1975-12-03,2023-04-25 00:00:00.000000,,74944.71,51537.32,51537.32,3,1546.12,0.0,773.06
DUMMY_NH_684931_000010,Staff,1964-10-05,2023-06-30 00:00:00.000000,,43719.57,22159.23,22159.23,0,0.0,0.0,0.0
DUMMY_NH_278804_000011,Staff,1988-05-24,2023-09-10 00:00:00.000000,,55378.1,17144.45,17144.45,3,514.33,0.0,257.17
DUMMY_NH_353271_000012,Staff,1970-03-28,2023-07-07 00:00:00.000000,,52397.51,25552.76,25552.76,10,2555.28,0.0,766.58
DUMMY_NH_102792_000013,Staff,1983-06-06,2023-03-02 00:00:00.000000,,50215.9,41961.23,41961.23,5,2098.06,0.0,1049.03
DUMMY_NH_346491_000014,Manager,1980-11-27,2023-09-15 00:00:00.000000,,78497.23,23226.58,23226.58,10,2322.66,0.0,696.8
DUMMY_NH_675199_000015,Staff,1982-09-19,2023-09-23 00:00:00.000000,,46105.17,12631.55,12631.55,3,378.95,0.0,189.48
DUMMY_NH_767836_000016,Manager,2001-01-20,2023-12-24 00:00:00.000000,2023-12-30,119224.74,2286.5,2286.5,5,114.32,0.0,57.16
DUMMY_NH_188434_000017,Executive,1981-03-19,2023-05-20 00:00:00.000000,,190548.66,117983.55,117983.55,10,11798.36,0.0,3539.5
DUMMY_NH_563980_000018,Staff,1995-05-12,2023-06-18 00:00:00.000000,,48930.47,26409.05,26409.05,4,1056.36,0.0,528.18
DUMMY_NH_114026_000019,Staff,1973-04-19,2023-09-18 00:00:00.000000,,47095.99,13548.16,13548.16,3,406.44,0.0,203.22
DUMMY_NH_968926_000020,Manager,1972-07-28,2023-06-18 00:00:00.000000,,106142.93,57288.1,57288.1,4,2291.52,0.0,1145.76
DUMMY_NH_789823_000021,Staff,1982-04-04,2023-07-04 00:00:00.000000,,49760.96,24675.98,24675.98,3,740.28,0.0,370.14
DUMMY_NH_288580_000022,Manager,1967-11-20,2023-02-01 00:00:00.000000,,100007.6,91513.8,91513.8,3,2745.41,0.0,1372.7
DUMMY_NH_826461_000023,Staff,1987-11-06,2023-11-29 00:00:00.000000,,39366.07,3559.12,3559.12,10,355.91,0.0,106.78
DUMMY_NH_347505_000024,Staff,1987-12-06,2023-09-25 00:00:00.000000,,52907.75,14205.37,14205.37,10,1420.54,0.0,426.16
DUMMY_NH_417452_000025,Staff,1971-12-11,2023-11-07 00:00:00.000000,2023-12-19,51423.46,6058.11,6058.11,3,181.74,0.0,90.87
DUMMY_NH_555273_000026,Staff,1985-01-13,2023-08-25 00:00:00.000000,,40655.57,14368.68,14368.68,10,1436.87,0.0,431.06
DUMMY_NH_758545_000027,Staff,1982-02-18,2023-12-29 00:00:00.000000,2023-12-29,43562.46,119.35,119.35,4,4.77,0.0,2.38
DUMMY_NH_751819_000028,Staff,1987-10-14,2023-10-17 00:00:00.000000,2023-11-06,37861.85,2178.35,2178.35,3,65.35,0.0,32.67
DUMMY_NH_258779_000029,Staff,1990-01-23,2023-05-04 00:00:00.000000,2023-06-22,51473.27,7051.13,7051.13,3,211.53,0.0,105.76
DUMMY_NH_595831_000030,Staff,1988-05-10,2023-01-05 00:00:00.000000,,44256.02,43771.02,43771.02,0,0.0,0.0,0.0
DUMMY_NH_714686_000031,Staff,1986-09-24,2023-11-25 00:00:00.000000,2023-12-24,46137.92,3792.16,3792.16,6,227.53,0.0,113.76
DUMMY_NH_969109_000032,Staff,1993-05-21,2023-07-23 00:00:00.000000,,41064.85,18226.04,18226.04,3,546.78,0.0,273.39
DUMMY_NH_324000_000033,Staff,1980-09-15,2023-10-16 00:00:00.000000,,37326.31,7874.32,7874.32,1,78.74,0.0,39.37
DUMMY_NH_938554_000034,Staff,1985-05-06,2023-11-16 00:00:00.000000,2023-12-08,41592.83,2620.92,2620.92,2,52.42,0.0,26.21
DUMMY_NH_863650_000035,Manager,1983-02-16,2023-01-14 00:00:00.000000,,71904.26,69343.29,69343.29,4,2773.73,0.0,1386.86
DUMMY_NH_400094_000036,Staff,1980-05-10,2023-07-15 00:00:00.000000,,54892.48,25566.36,25566.36,10,2556.64,0.0,766.99
DUMMY_NH_770604_000037,Staff,1992-01-15,2023-08-28 00:00:00.000000,,51828.89,17891.62,17891.62,0,0.0,0.0,0.0
DUMMY_NH_523743_000038,Staff,1987-03-18,2023-10-21 00:00:00.000000,2023-10-29,33143.68,817.24,817.24,4,32.69,0.0,16.34
DUMMY_NH_253810_000039,Staff,1977-06-28,2023-04-26 00:00:00.000000,,36884.95,25263.66,25263.66,5,1263.18,0.0,631.59
DUMMY_NH_865697_000040,Staff,1996-08-08,2023-12-23 00:00:00.000000,,43225.87,1065.84,1065.84,3,31.98,0.0,15.99
DUMMY_NH_641797_000041,Executive,1964-07-04,2023-01-04 00:00:00.000000,,327746.4,325052.59,325052.59,10,30000.0,0.0,9751.58
DUMMY_NH_287933_000042,Executive,1992-12-25,2023-12-11 00:00:00.000000,2023-12-23,167603.89,5969.45,5969.45,10,596.95,0.0,179.08
DUMMY_NH_774759_000043,Staff,1972-05-05,2023-11-23 00:00:00.000000,2023-12-26,46973.09,4375.58,4375.58,10,437.56,0.0,131.26
DUMMY_NH_169879_000044,Staff,1978-03-28,2023-11-18 00:00:00.000000,2023-12-19,57193.08,5014.19,5014.19,2,100.28,0.0,50.14
DUMMY_NH_294383_000045,Manager,1965-03-18,2023-05-29 00:00:00.000000,2023-06-01,83155.98,911.3,911.3,3,27.34,0.0,13.67
DUMMY_NH_711089_000046,Manager,1976-03-27,2023-08-22 00:00:00.000000,,99189.88,35871.41,35871.41,10,3587.14,0.0,1076.14
DUMMY_NH_254926_000047,Staff,1987-02-09,2023-12-23 00:00:00.000000,2023-12-24,41605.91,227.98,227.98,2,4.56,0.0,2.28
DUMMY_NH_291336_000048,Staff,1988-06-04,2023-01-17 00:00:00.000000,2023-04-09,30511.55,6938.24,6938.24,3,208.15,0.0,104.08
DUMMY_NH_960508_000049,Staff,1961-08-05,2023-02-08 00:00:00.000000,,50412.76,45164.31,45164.31,3,1354.93,0.0,677.46
DUMMY_NH_604478_000050,Staff,1970-11-24,2023-12-02 00:00:00.000000,2023-12-23,53089.6,3199.92,3199.92,4,128.0,0.0,64.0
DUMMY_NH_247827_000051,Staff,1974-03-25,2023-08-02 00:00:00.000000,,49870.88,20768.15,20768.15,8,1661.45,0.0,623.04
DUMMY_NH_538277_000052,Manager,1976-09-19,2023-04-02 00:00:00.000000,,94838.42,71193.77,71193.77,10,7119.38,0.0,2135.82
DUMMY_NH_268027_000053,Staff,1988-07-22,2023-12-17 00:00:00.000000,,39562.55,1625.86,1625.86,4,65.03,0.0,32.52
DUMMY_NH_700866_000054,Staff,1976-04-14,2023-10-29 00:00:00.000000,2023-12-31,40465.29,7095.28,7095.28,3,212.86,0.0,106.43
DUMMY_NH_921677_000055,Staff,1969-08-28,2023-10-16 00:00:00.000000,2023-11-30,33748.38,4253.22,4253.22,3,127.6,0.0,63.8
DUMMY_NH_727099_000056,Staff,1976-05-12,2023-12-12 00:00:00.000000,2023-12-24,72189.78,2571.14,2571.14,3,77.13,0.0,38.56
DUMMY_NH_293325_000057,Staff,1982-10-20,2023-03-06 00:00:00.000000,,34303.38,28288.54,28288.54,3,848.66,0.0,424.33
DUMMY_NH_824417_000058,Staff,1980-05-05,2023-05-25 00:00:00.000000,2023-10-09,41941.79,15857.44,15857.44,2,317.15,0.0,158.57
DUMMY_NH_988190_000059,Staff,1997-12-23,2023-02-01 00:00:00.000000,,46093.53,42178.74,42178.74,4,1687.15,0.0,843.58
DUMMY_NH_509340_000060,Staff,1980-09-14,2023-05-12 00:00:00.000000,,37131.91,23805.11,23805.11,3,714.15,0.0,357.08
DUMMY_NH_763992_000061,Staff,1961-01-25,2023-07-06 00:00:00.000000,2023-12-06,45996.47,19406.73,19406.73,1,194.07,0.0,97.04
DUMMY_NH_111677_000062,Manager,1980-11-12,2023-03-04 00:00:00.000000,,112354.09,93269.29,93269.29,3,2798.08,0.0,1399.04
DUMMY_NH_717199_000063,Manager,1989-03-02,2023-01-22 00:00:00.000000,,92045.14,86749.39,86749.39,10,8674.94,0.0,2602.48
DUMMY_NH_805162_000064,Manager,1992-09-23,2023-05-28 00:00:00.000000,2023-12-13,83756.51,45893.98,45893.98,0,0.0,0.0,0.0
