ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_293452_000001,Analyst,1971-06-19,2016-05-18,,80865.3,80865.3,80865.3,9,7277.88,2425.96,2425.96
DUMMY_EX_880492_000002,Manager,1980-02-13,2012-05-20,,145083.15,145083.15,145083.15,5,7254.16,4352.49,3627.08
DUMMY_EX_581314_000003,Analyst,1983-10-04,2018-01-27,,87690.86,87690.86,87690.86,0,0.0,2630.73,0.0
DUMMY_EX_874819_000004,Analyst,1973-08-04,2010-05-11,,91142.16,91142.16,91142.16,9,8202.79,2734.26,2734.26
DUMMY_EX_615207_000006,Analyst,1991-10-08,2014-05-23,,60698.12,60698.12,60698.12,3,1820.94,1820.94,910.47
DUMMY_EX_793628_000007,Director,1969-02-16,2019-11-28,,336241.02,336241.02,336241.02,0,0.0,10087.23,0.0
DUMMY_EX_508600_000008,Analyst,1966-07-06,2010-08-04,,73610.65,73610.65,73610.65,5,3680.53,2208.32,1840.26
DUMMY_EX_419818_000009,Manager,1991-06-01,2014-06-02,,132653.92,132653.92,132653.92,6,7959.24,3979.62,3979.62
DUMMY_EX_720087_000010,Analyst,1984-08-06,2014-10-21,,70951.52,70951.52,70951.52,0,0.0,2128.55,0.0
DUMMY_EX_815063_000011,Analyst,1964-04-11,2013-12-14,,70837.04,70837.04,70837.04,0,0.0,2125.11,0.0
DUMMY_EX_794775_000012,Analyst,1978-06-16,2013-10-06,,76821.36,76821.36,76821.36,4,3072.85,2304.64,1536.42
DUMMY_EX_438973_000013,Analyst,1973-03-08,2017-11-10,,84559.08,84559.08,84559.08,5,4227.95,2536.77,2113.98
DUMMY_EX_875341_000014,Analyst,1985-09-13,2012-12-13,,62092.57,62092.57,62092.57,6,3725.55,1862.78,1862.78
DUMMY_EX_331981_000015,Analyst,1982-10-12,2013-06-18,,91220.98,91220.98,91220.98,0,0.0,2736.63,0.0
DUMMY_EX_857220_000016,Analyst,1972-04-23,2018-01-04,,66511.43,66511.43,66511.43,15,9976.71,1995.34,1995.34
DUMMY_EX_672099_000018,Analyst,1991-07-16,2017-08-06,,111323.17,111323.17,111323.17,0,0.0,3339.7,0.0
DUMMY_EX_348522_000019,Analyst,1980-11-13,2015-09-11,,117146.2,117146.2,117146.2,3,3514.39,3514.39,1757.2
DUMMY_EX_548299_000020,Analyst,1977-11-22,2019-09-04,,97683.51,97683.51,97683.51,0,0.0,2930.51,0.0
DUMMY_EX_396267_000021,Analyst,1996-03-10,2019-01-08,,80667.98,80667.98,80667.98,3,2420.04,2420.04,1210.02
DUMMY_EX_267565_000022,Analyst,1978-10-11,2013-08-20,,76244.82,76244.82,76244.82,10,7624.48,2287.34,2287.34
DUMMY_EX_432300_000026,Analyst,1971-11-21,2015-02-15,,81267.26,81267.26,81267.26,0,0.0,2438.02,0.0
DUMMY_EX_385435_000029,Analyst,1977-02-25,2015-08-12,,70648.9,70648.9,70648.9,6,4238.93,2119.47,2119.46
DUMMY_EX_977795_000030,Analyst,1976-02-13,2012-04-21,,79542.12,79542.12,79542.12,5,3977.11,2386.26,1988.56
DUMMY_EX_805414_000031,Analyst,1991-03-22,2019-01-17,,69266.77,69266.77,69266.77,12,8312.01,2078.0,2078.0
DUMMY_EX_589185_000032,Analyst,1971-09-01,2014-08-23,,77925.59,77925.59,77925.59,7,5454.79,2337.77,2337.77
DUMMY_EX_468446_000033,Manager,1978-05-23,2014-03-30,,173322.25,173322.25,173322.25,4,6932.89,5199.67,3466.44
