ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_293452_000001,Analyst,1971-06-19,2016-05-18,,69033.69,69033.69,69033.69,9,6213.03,2071.01,2071.01
DUMMY_EX_880492_000002,Manager,1980-02-13,2012-05-20,,124255.64,124255.64,124255.64,5,6212.78,3727.67,3106.39
DUMMY_EX_581314_000003,Analyst,1983-10-04,2018-01-27,,75599.5,75599.5,75599.5,0,0.0,2267.98,0.0
DUMMY_EX_874819_000004,Analyst,1973-08-04,2010-05-11,,78547.9,78547.9,78547.9,9,7069.31,2356.44,2356.44
DUMMY_EX_407902_000005,Analyst,1991-06-10,2016-06-19,,64114.93,64114.93,64114.93,10,6411.49,1923.45,1923.45
DUMMY_EX_615207_000006,Analyst,1991-10-08,2014-05-23,,51851.61,51851.61,51851.61,3,1555.55,1555.55,777.78
DUMMY_EX_793628_000007,Director,1969-02-16,2019-11-28,,287357.61,287357.61,285000.0,0,0.0,8620.73,0.0
DUMMY_EX_508600_000008,Analyst,1966-07-06,2010-08-04,,64118.23,64118.23,64118.23,5,3205.91,1923.55,1602.96
DUMMY_EX_419818_000009,Manager,1991-06-01,2014-06-02,,115216.06,115216.06,115216.06,6,6912.96,3456.48,3456.48
DUMMY_EX_720087_000010,Analyst,1984-08-06,2014-10-21,,61600.44,61600.44,61600.44,0,0.0,1848.01,0.0
DUMMY_EX_815063_000011,Analyst,1964-04-11,2013-12-14,,60438.1,60438.1,60438.1,0,0.0,1813.14,0.0
DUMMY_EX_794775_000012,Analyst,1978-06-16,2013-10-06,,67028.21,67028.21,67028.21,4,2681.13,2010.85,1340.56
DUMMY_EX_438973_000013,Analyst,1973-03-08,2017-11-10,,70745.46,70745.46,70745.46,5,3537.27,2122.36,1768.64
DUMMY_EX_875341_000014,Analyst,1985-09-13,2012-12-13,,52710.3,52710.3,52710.3,6,3162.62,1581.31,1581.31
DUMMY_EX_331981_000015,Analyst,1982-10-12,2013-06-18,,80269.82,80269.82,80269.82,0,0.0,2408.09,0.0
DUMMY_EX_857220_000016,Analyst,1972-04-23,2018-01-04,,58724.91,58724.91,58724.91,15,8808.74,1761.75,1761.74
DUMMY_EX_727075_000017,Analyst,1982-05-03,2016-12-17,,75355.29,75355.29,75355.29,7,5274.87,2260.66,2260.66
DUMMY_EX_672099_000018,Analyst,1991-07-16,2017-08-06,,97987.33,97987.33,97987.33,0,0.0,2939.62,0.0
DUMMY_EX_348522_000019,Analyst,1980-11-13,2015-09-11,,101060.65,101060.65,101060.65,3,3031.82,3031.82,1515.91
DUMMY_EX_548299_000020,Analyst,1977-11-22,2019-09-04,,84860.79,84860.79,84860.79,0,0.0,2545.82,0.0
DUMMY_EX_396267_000021,Analyst,1996-03-10,2019-01-08,,68948.14,68948.14,68948.14,3,2068.44,2068.44,1034.22
DUMMY_EX_267565_000022,Analyst,1978-10-11,2013-08-20,,67113.03,67113.03,67113.03,10,6711.3,2013.39,2013.39
DUMMY_EX_793063_000023,Analyst,1968-12-26,2015-09-12,,75718.23,75718.23,75718.23,9,6814.64,2271.55,2271.54
DUMMY_EX_536233_000024,Analyst,1961-09-24,2014-11-03,,68488.97,68488.97,68488.97,10,6848.9,2054.67,2054.67
DUMMY_EX_639689_000025,Analyst,1980-07-10,2016-06-11,,82257.56,82257.56,82257.56,3,2467.73,2467.73,1233.86
DUMMY_EX_432300_000026,Analyst,1971-11-21,2015-02-15,,69816.25,69816.25,69816.25,0,0.0,2094.49,0.0
DUMMY_EX_677489_000027,Manager,1973-07-06,2020-11-10,,88100.04,12276.24,12276.24,6,736.57,368.29,368.28
DUMMY_EX_322241_000028,Analyst,1983-05-27,2008-11-05,,79834.4,79834.4,79834.4,10,7983.44,2395.03,2395.03
DUMMY_EX_385435_000029,Analyst,1977-02-25,2015-08-12,,59987.51,59987.51,59987.51,6,3599.25,1799.63,1799.62
DUMMY_EX_977795_000030,Analyst,1976-02-13,2012-04-21,,70737.28,70737.28,70737.28,5,3536.86,2122.12,1768.43
DUMMY_EX_805414_000031,Analyst,1991-03-22,2019-01-17,,60346.35,60346.35,60346.35,12,7241.56,1810.39,1810.39
DUMMY_EX_589185_000032,Analyst,1971-09-01,2014-08-23,,67862.22,67862.22,67862.22,7,4750.36,2035.87,2035.86
DUMMY_EX_468446_000033,Manager,1978-05-23,2014-03-30,,155053.43,155053.43,155053.43,4,6202.14,4651.6,3101.07
DUMMY_EX_494961_000034,Analyst,1966-06-13,2014-02-19,,69728.77,69728.77,69728.77,3,2091.86,2091.86,1045.93
DUMMY_EX_815873_000035,Manager,1976-08-01,2013-02-09,,107864.64,107864.64,107864.64,4,4314.59,3235.94,2157.3
DUMMY_EX_893406_000036,Analyst,1977-01-21,2008-10-06,,59886.08,59886.08,59886.08,0,0.0,1796.58,0.0
DUMMY_EX_690187_000037,Analyst,1978-04-13,2017-04-13,,70087.02,70087.02,70087.02,4,2803.48,2102.61,1401.74
DUMMY_EX_521277_000038,Director,1969-01-23,2014-02-27,,320819.87,320819.87,285000.0,9,26000.0,9624.6,9624.59
DUMMY_EX_516886_000039,Analyst,1963-05-15,2015-03-19,,56228.76,56228.76,56228.76,6,3373.73,1686.86,1686.86
DUMMY_EX_638917_000040,Analyst,1972-12-01,2018-06-25,,86084.84,86084.84,86084.84,4,3443.39,2582.55,1721.7
DUMMY_EX_494511_000041,Analyst,1953-01-19,2012-02-23,,62181.03,62181.03,62181.03,5,3109.05,1865.43,1554.52
DUMMY_EX_745109_000042,Manager,1985-05-27,2010-04-10,,100753.7,100753.7,100753.7,10,10075.37,3022.61,3022.61
DUMMY_EX_675442_000043,Manager,1966-05-13,2014-01-01,,112157.76,112157.76,112157.76,5,5607.89,3364.73,2803.94
DUMMY_EX_697985_000044,Director,1977-02-25,2016-03-01,,284358.97,284358.97,284358.97,4,11374.36,8530.77,5687.18
DUMMY_EX_228191_000045,Director,1983-01-27,2014-06-08,,195744.16,195744.16,195744.16,5,9787.21,5872.32,4893.6
DUMMY_EX_283205_000046,Analyst,1983-05-20,2014-07-07,,65820.96,65820.96,65820.96,10,6582.1,1974.63,1974.63
DUMMY_EX_191022_000047,Analyst,1960-02-22,2009-01-22,,67878.51,67878.51,67878.51,7,4751.5,2036.36,2036.36
DUMMY_EX_894272_000048,Director,1978-05-05,2015-04-18,,263365.12,263365.12,263365.12,10,19500.0,7900.95,7900.96
DUMMY_EX_647431_000049,Manager,1989-07-03,2019-07-04,,90729.79,90729.79,90729.79,0,0.0,2721.89,0.0
DUMMY_EX_315480_000050,Analyst,1996-10-13,2019-06-17,,60536.8,60536.8,60536.8,8,4842.94,1816.1,1816.1
DUMMY_EX_277421_000051,Analyst,1995-08-11,2019-11-11,,59432.26,59432.26,59432.26,8,4754.58,1782.97,1782.97
DUMMY_EX_998424_000052,Analyst,1983-01-14,2009-04-07,,64966.47,64966.47,64966.47,15,9744.97,1948.99,1949.0
DUMMY_EX_793388_000053,Analyst,1980-11-16,2012-06-21,,75283.58,75283.58,75283.58,8,6022.69,2258.51,2258.5
DUMMY_EX_235893_000054,Manager,1988-10-11,2018-10-10,,99078.25,99078.25,99078.25,1,990.78,2972.35,495.39
DUMMY_EX_591206_000055,Director,1978-08-16,2018-11-18,,282752.8,282752.8,282752.8,0,0.0,8482.58,0.0
DUMMY_EX_303178_000056,Director,1984-12-02,2008-09-15,,392737.52,392737.52,285000.0,4,15709.5,11782.13,7854.75
DUMMY_EX_997684_000057,Manager,1968-09-27,2018-02-06,,129160.37,129160.37,129160.37,4,5166.41,3874.81,2583.2
DUMMY_EX_644089_000058,Director,1976-05-10,2013-06-29,,267549.86,267549.86,267549.86,0,0.0,8026.5,0.0
DUMMY_EX_317180_000059,Manager,1974-12-15,2016-05-30,,160745.87,160745.87,160745.87,3,4822.38,4822.38,2411.19
DUMMY_EX_320563_000060,Manager,1974-07-14,2013-04-05,,138660.09,138660.09,138660.09,4,5546.4,4159.8,2773.2
DUMMY_EX_193646_000061,Manager,1973-07-13,2017-09-30,,108365.87,108365.87,108365.87,5,5418.29,3250.98,2709.14
DUMMY_EX_606606_000062,Manager,1983-03-18,2007-09-25,,107878.41,107878.41,107878.41,3,3236.35,3236.35,1618.18
