ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_293452_000001,Analyst,1971-06-19,2016-05-18,,71376.77,71376.77,71376.77,9,6423.91,2141.3,2141.3
DUMMY_EX_880492_000002,Manager,1980-02-13,2012-05-20,,129426.05,129426.05,129426.05,5,6471.3,3882.78,3235.65
DUMMY_EX_581314_000003,Analyst,1983-10-04,2018-01-27,,77549.95,77549.95,77549.95,0,0.0,2326.5,0.0
DUMMY_EX_874819_000004,Analyst,1973-08-04,2010-05-11,,82170.71,82170.71,82170.71,9,7395.36,2465.12,2465.12
DUMMY_EX_407902_000005,Analyst,1991-06-10,2016-06-19,,65856.71,65856.71,65856.71,10,6585.67,1975.7,1975.7
DUMMY_EX_615207_000006,Analyst,1991-10-08,2014-05-23,,54278.29,54278.29,54278.29,3,1628.35,1628.35,814.18
DUMMY_EX_793628_000007,Director,1969-02-16,2019-11-28,,296679.88,296679.88,290000.0,0,0.0,8900.4,0.0
DUMMY_EX_508600_000008,Analyst,1966-07-06,2010-08-04,,66959.35,66959.35,66959.35,5,3347.97,2008.78,1673.98
DUMMY_EX_419818_000009,Manager,1991-06-01,2014-06-02,,118615.16,118615.16,118615.16,6,7116.91,3558.45,3558.46
DUMMY_EX_720087_000010,Analyst,1984-08-06,2014-10-21,,64122.16,64122.16,64122.16,0,0.0,1923.66,0.0
DUMMY_EX_815063_000011,Analyst,1964-04-11,2013-12-14,,62185.06,62185.06,62185.06,0,0.0,1865.55,0.0
DUMMY_EX_794775_000012,Analyst,1978-06-16,2013-10-06,,70959.88,70959.88,70959.88,4,2838.4,2128.8,1419.2
DUMMY_EX_438973_000013,Analyst,1973-03-08,2017-11-10,,73759.73,73759.73,73759.73,5,3687.99,2212.79,1844.0
DUMMY_EX_875341_000014,Analyst,1985-09-13,2012-12-13,,56424.78,56424.78,56424.78,6,3385.49,1692.74,1692.74
DUMMY_EX_331981_000015,Analyst,1982-10-12,2013-06-18,,83060.78,83060.78,83060.78,0,0.0,2491.82,0.0
DUMMY_EX_857220_000016,Analyst,1972-04-23,2018-01-04,,61353.51,61353.51,61353.51,15,9203.03,1840.61,1840.6
DUMMY_EX_672099_000018,Analyst,1991-07-16,2017-08-06,,101773.36,101773.36,101773.36,0,0.0,3053.2,0.0
DUMMY_EX_348522_000019,Analyst,1980-11-13,2015-09-11,,104899.03,104899.03,104899.03,3,3146.97,3146.97,1573.48
