ssn,role,birth_date,hire_date,termination_date,gross_compensation,plan_year_compensation,capped_compensation,pre_tax_deferral_percentage,pre_tax_contributions,employer_non_elective_contribution,employer_match_contribution
DUMMY_EX_293452_000001,Analyst,1971-06-19,2016-05-18,,74174.16,74174.16,74174.16,9,6675.67,2225.22,2225.22
DUMMY_EX_880492_000002,Manager,1980-02-13,2012-05-20,,133620.62,133620.62,133620.62,5,6681.03,4008.62,3340.52
DUMMY_EX_581314_000003,Analyst,1983-10-04,2018-01-27,,80865.18,80865.18,80865.18,0,0.0,2425.96,0.0
DUMMY_EX_874819_000004,Analyst,1973-08-04,2010-05-11,,85050.28,85050.28,85050.28,9,7654.53,2551.51,2551.51
DUMMY_EX_407902_000005,Analyst,1991-06-10,2016-06-19,,68512.93,68512.93,68512.93,10,6851.29,2055.39,2055.39
DUMMY_EX_615207_000006,Analyst,1991-10-08,2014-05-23,,56402.93,56402.93,56402.93,3,1692.09,1692.09,846.04
DUMMY_EX_793628_000007,Director,1969-02-16,2019-11-28,,308058.17,308058.17,305000.0,0,0.0,9241.75,0.0
DUMMY_EX_508600_000008,Analyst,1966-07-06,2010-08-04,,68345.05,68345.05,68345.05,5,3417.25,2050.35,1708.62
DUMMY_EX_419818_000009,Manager,1991-06-01,2014-06-02,,123470.62,123470.62,123470.62,6,7408.24,3704.12,3704.12
DUMMY_EX_720087_000010,Analyst,1984-08-06,2014-10-21,,66096.27,66096.27,66096.27,0,0.0,1982.89,0.0
DUMMY_EX_815063_000011,Analyst,1964-04-11,2013-12-14,,64910.66,64910.66,64910.66,0,0.0,1947.32,0.0
DUMMY_EX_794775_000012,Analyst,1978-06-16,2013-10-06,,73388.9,73388.9,73388.9,4,2935.56,2201.67,1467.78
DUMMY_EX_438973_000013,Analyst,1973-03-08,2017-11-10,,77298.95,77298.95,77298.95,5,3864.95,2318.97,1932.48
DUMMY_EX_875341_000014,Analyst,1985-09-13,2012-12-13,,59440.77,59440.77,59440.77,6,3566.45,1783.22,1783.22
DUMMY_EX_331981_000015,Analyst,1982-10-12,2013-06-18,,84761.73,84761.73,84761.73,0,0.0,2542.85,0.0
DUMMY_EX_857220_000016,Analyst,1972-04-23,2018-01-04,,62817.66,62817.66,62817.66,15,9422.65,1884.53,1884.53
DUMMY_EX_672099_000018,Analyst,1991-07-16,2017-08-06,,104007.3,104007.3,104007.3,0,0.0,3120.22,0.0
DUMMY_EX_348522_000019,Analyst,1980-11-13,2015-09-11,,108532.19,108532.19,108532.19,3,3255.97,3255.97,1627.98
DUMMY_EX_548299_000020,Analyst,1977-11-22,2019-09-04,,90425.15,90425.15,90425.15,0,0.0,2712.75,0.0
DUMMY_EX_396267_000021,Analyst,1996-03-10,2019-01-08,,73913.43,73913.43,73913.43,3,2217.4,2217.4,1108.7
DUMMY_EX_267565_000022,Analyst,1978-10-11,2013-08-20,,72104.51,72104.51,72104.51,10,7210.45,2163.14,2163.14
DUMMY_EX_793063_000023,Analyst,1968-12-26,2015-09-12,,81098.5,81098.5,81098.5,9,7298.86,2432.96,2432.96
DUMMY_EX_536233_000024,Analyst,1961-09-24,2014-11-03,,73506.81,73506.81,73506.81,10,7350.68,2205.2,2205.2
DUMMY_EX_639689_000025,Analyst,1980-07-10,2016-06-11,,89564.21,89564.21,89564.21,3,2686.93,2686.93,1343.46
DUMMY_EX_432300_000026,Analyst,1971-11-21,2015-02-15,,75471.83,75471.83,75471.83,0,0.0,2264.15,0.0
DUMMY_EX_385435_000029,Analyst,1977-02-25,2015-08-12,,65756.84,65756.84,65756.84,6,3945.41,1972.71,1972.7
DUMMY_EX_977795_000030,Analyst,1976-02-13,2012-04-21,,74975.18,74975.18,74975.18,5,3748.76,2249.26,1874.38
DUMMY_EX_805414_000031,Analyst,1991-03-22,2019-01-17,,64627.76,64627.76,64627.76,12,7755.33,1938.83,1938.84
DUMMY_EX_589185_000032,Analyst,1971-09-01,2014-08-23,,72548.55,72548.55,72548.55,7,5078.4,2176.46,2176.46
DUMMY_EX_468446_000033,Manager,1978-05-23,2014-03-30,,164413.19,164413.19,164413.19,4,6576.53,4932.4,3288.26
DUMMY_EX_494961_000034,Analyst,1966-06-13,2014-02-19,,74644.21,74644.21,74644.21,3,2239.33,2239.33,1119.66
DUMMY_EX_815873_000035,Manager,1976-08-01,2013-02-09,,115704.03,115704.03,115704.03,4,4628.16,3471.12,2314.08
DUMMY_EX_893406_000036,Analyst,1977-01-21,2008-10-06,,63243.37,63243.37,63243.37,0,0.0,1897.3,0.0
DUMMY_EX_690187_000037,Analyst,1978-04-13,2017-04-13,,75273.51,75273.51,75273.51,4,3010.94,2258.21,1505.47
DUMMY_EX_521277_000038,Director,1969-01-23,2014-02-27,,349832.34,349832.34,305000.0,9,27000.0,10494.97,10494.97
DUMMY_EX_516886_000039,Analyst,1963-05-15,2015-03-19,,59780.69,59780.69,59780.69,6,3586.84,1793.42,1793.42
DUMMY_EX_638917_000040,Analyst,1972-12-01,2018-06-25,,93185.24,93185.24,93185.24,4,3727.41,2795.56,1863.7
DUMMY_EX_494511_000041,Analyst,1953-01-19,2012-02-23,,67205.66,67205.66,67205.66,5,3360.28,2016.17,1680.14
DUMMY_EX_745109_000042,Manager,1985-05-27,2010-04-10,,106002.3,106002.3,106002.3,10,10600.23,3180.07,3180.07
DUMMY_EX_675442_000043,Manager,1966-05-13,2014-01-01,,123350.79,123350.79,123350.79,5,6167.54,3700.52,3083.77
DUMMY_EX_697985_000044,Director,1977-02-25,2016-03-01,,305889.05,305889.05,305000.0,4,12235.56,9176.67,6117.78
DUMMY_EX_228191_000045,Director,1983-01-27,2014-06-08,,210669.37,210669.37,210669.37,5,10533.47,6320.08,5266.74
DUMMY_EX_283205_000046,Analyst,1983-05-20,2014-07-07,,67642.86,67642.86,67642.86,10,6764.29,2029.29,2029.28
DUMMY_EX_191022_000047,Analyst,1960-02-22,2009-01-22,,73803.38,73803.38,73803.38,7,5166.24,2214.1,2214.1
DUMMY_EX_894272_000048,Director,1978-05-05,2015-04-18,,283175.44,283175.44,283175.44,10,20500.0,8495.26,8495.26
DUMMY_EX_647431_000049,Manager,1989-07-03,2019-07-04,,98963.05,98963.05,98963.05,0,0.0,2968.89,0.0
DUMMY_EX_315480_000050,Analyst,1996-10-13,2019-06-17,,63987.88,63987.88,63987.88,8,5119.03,1919.64,1919.64
DUMMY_EX_998424_000052,Analyst,1983-01-14,2009-04-07,,69995.72,69995.72,69995.72,15,10499.36,2099.87,2099.87
DUMMY_EX_793388_000053,Analyst,1980-11-16,2012-06-21,,80399.84,80399.84,80399.84,8,6431.99,2412.0,2412.0
DUMMY_EX_235893_000054,Manager,1988-10-11,2018-10-10,,104479.99,104479.99,104479.99,1,1044.8,3134.4,522.4
DUMMY_EX_303178_000056,Director,1984-12-02,2008-09-15,,415281.74,415281.74,305000.0,4,16611.27,12458.45,8305.64
DUMMY_EX_644089_000058,Director,1976-05-10,2013-06-29,,290219.7,290219.7,290219.7,0,0.0,8706.59,0.0
DUMMY_EX_317180_000059,Manager,1974-12-15,2016-05-30,,173304.46,173304.46,173304.46,3,5199.13,5199.13,2599.56
DUMMY_EX_320563_000060,Manager,1974-07-14,2013-04-05,,150915.4,150915.4,150915.4,4,6036.62,4527.46,3018.31
DUMMY_EX_606606_000062,Manager,1983-03-18,2007-09-25,,117142.65,117142.65,117142.65,3,3514.28,3514.28,1757.14
DUMMY_EX_789827_000063,Analyst,1959-07-15,2017-05-19,,62074.38,62074.38,62074.38,1,620.74,1862.23,310.37
DUMMY_EX_236198_000064,Analyst,1976-10-08,2019-02-05,,84108.89,84108.89,84108.89,9,7569.8,2523.27,2523.26
DUMMY_EX_397179_000065,Director,1974-02-18,2016-08-15,,495408.13,495408.13,305000.0,0,0.0,14862.24,0.0
DUMMY_EX_463502_000066,Analyst,1981-03-15,2011-05-27,,83001.63,83001.63,83001.63,2,1660.03,2490.05,830.02
DUMMY_EX_204000_000069,Analyst,1987-03-04,2010-06-04,,56135.11,56135.11,56135.11,8,4490.81,1684.05,1684.06
DUMMY_EX_368108_000070,Analyst,1965-04-03,2014-05-23,,110623.44,110623.44,110623.44,5,5531.17,3318.7,2765.58
DUMMY_EX_599299_000071,Analyst,1982-07-17,2014-04-28,,96287.16,96287.16,96287.16,6,5777.23,2888.61,2888.62
DUMMY_EX_471028_000072,Analyst,1976-01-06,2013-03-22,,47021.41,47021.41,47021.41,6,2821.28,1410.64,1410.64
DUMMY_EX_392454_000073,Manager,1991-01-22,2018-12-04,,137393.47,137393.47,137393.47,6,8243.61,4121.8,4121.8
DUMMY_EX_587757_000074,Analyst,1985-10-17,2015-02-12,,88806.12,88806.12,88806.12,0,0.0,2664.18,0.0
DUMMY_EX_253098_000075,Manager,1975-08-04,2017-01-29,,169433.98,169433.98,169433.98,2,3388.68,5083.02,1694.34
DUMMY_EX_137994_000076,Manager,1991-02-07,2017-12-27,,98943.0,98943.0,98943.0,3,2968.29,2968.29,1484.14
DUMMY_EX_919670_000077,Manager,1975-01-22,2017-06-16,,143053.36,143053.36,143053.36,10,14305.34,4291.6,4291.6
DUMMY_EX_155111_000078,Analyst,1983-07-07,2013-08-05,,93385.83,93385.83,93385.83,7,6537.01,2801.57,2801.58
DUMMY_EX_598844_000079,Analyst,1985-03-16,2018-10-21,,74027.48,74027.48,74027.48,0,0.0,2220.82,0.0
DUMMY_EX_344190_000080,Analyst,1982-01-10,2019-03-30,,75365.98,75365.98,75365.98,10,7536.6,2260.98,2260.98
DUMMY_EX_303677_000082,Analyst,1967-06-11,2017-04-05,,75807.75,75807.75,75807.75,9,6822.7,2274.23,2274.23
DUMMY_EX_316833_000083,Manager,1978-08-05,2014-03-07,,113134.95,113134.95,113134.95,12,13576.19,3394.05,3394.05
DUMMY_EX_974516_000084,Manager,1974-02-20,2017-05-02,,90941.91,90941.91,90941.91,4,3637.68,2728.26,1818.84
DUMMY_EX_817242_000085,Analyst,1956-12-06,2015-09-16,,76575.71,76575.71,76575.71,0,0.0,2297.27,0.0
DUMMY_EX_692416_000086,Analyst,1975-07-02,2014-05-22,,85214.88,85214.88,85214.88,6,5112.89,2556.45,2556.45
DUMMY_EX_937269_000087,Director,1979-11-26,2011-10-23,,400831.82,400831.82,305000.0,6,20500.0,12024.95,10250.0
DUMMY_EX_114993_000088,Analyst,1985-09-22,2015-09-07,,75861.92,75861.92,75861.92,10,7586.19,2275.86,2275.86
DUMMY_EX_103757_000089,Analyst,1982-02-10,2019-05-09,,76361.23,76361.23,76361.23,0,0.0,2290.84,0.0
DUMMY_EX_156887_000090,Analyst,1993-02-16,2017-08-17,,81070.2,81070.2,81070.2,3,2432.11,2432.11,1216.06
DUMMY_EX_332094_000091,Analyst,1975-08-16,2020-03-19,,85461.44,85461.44,85461.44,9,7691.53,2563.84,2563.84
DUMMY_EX_768278_000092,Analyst,1988-08-11,2012-04-04,,97483.28,97483.28,97483.28,5,4874.16,2924.5,2437.08
DUMMY_EX_518426_000094,Manager,1981-09-06,2009-01-07,,159680.05,159680.05,159680.05,10,15968.0,4790.4,4790.4
DUMMY_EX_165047_000095,Analyst,1977-02-03,2015-04-18,,69681.92,69681.92,69681.92,3,2090.46,2090.46,1045.23
DUMMY_EX_132953_000098,Manager,1980-10-05,2005-08-03,,134560.59,134560.59,134560.59,10,13456.06,4036.82,4036.82
DUMMY_EX_680272_000099,Manager,1979-12-13,2013-12-12,,146476.21,146476.21,146476.21,2,2929.52,4394.29,1464.76
DUMMY_EX_903881_000100,Manager,1975-01-07,2013-08-21,,161216.87,161216.87,161216.87,0,0.0,4836.51,0.0
DUMMY_EX_252836_000101,Analyst,1969-01-09,2009-09-14,,99867.11,99867.11,99867.11,10,9986.71,2996.01,2996.02
DUMMY_EX_483072_000102,Analyst,1982-12-01,2011-12-22,,75217.7,75217.7,75217.7,4,3008.71,2256.53,1504.36
DUMMY_EX_312459_000103,Analyst,1976-02-12,2019-12-16,,73230.97,73230.97,73230.97,0,0.0,2196.93,0.0
DUMMY_EX_582612_000104,Manager,1985-11-18,2017-06-23,,116523.46,116523.46,116523.46,7,8156.64,3495.7,3495.7
DUMMY_EX_556223_000105,Manager,1973-12-22,2010-07-05,,122507.82,122507.82,122507.82,10,12250.78,3675.23,3675.24
DUMMY_EX_678380_000106,Manager,1989-10-17,2013-03-01,,102919.21,102919.21,102919.21,9,9262.73,3087.58,3087.58
DUMMY_EX_307484_000107,Manager,1983-08-20,2016-06-16,,186884.41,186884.41,186884.41,10,18688.44,5606.53,5606.53
DUMMY_EX_355571_000108,Manager,1981-04-25,2011-10-07,,108365.9,108365.9,108365.9,6,6501.95,3250.98,3250.98
DUMMY_EX_734839_000109,Manager,1991-09-20,2017-08-28,,131802.79,131802.79,131802.79,5,6590.14,3954.08,3295.07
DUMMY_EX_453198_000111,Analyst,1995-09-18,2018-05-30,,64433.89,64433.89,64433.89,3,1933.02,1933.02,966.51
DUMMY_EX_948248_000112,Analyst,1978-04-28,2013-10-30,,59119.26,59119.26,59119.26,2,1182.39,1773.58,591.2
DUMMY_EX_894501_000113,Analyst,1986-01-13,2017-08-23,,92097.45,92097.45,92097.45,3,2762.92,2762.92,1381.46
DUMMY_EX_233348_000114,Analyst,1985-05-08,2017-10-14,,75051.71,75051.71,75051.71,5,3752.59,2251.55,1876.3
DUMMY_EX_872244_000115,Manager,1966-10-23,2019-11-27,,143597.24,143597.24,143597.24,0,0.0,4307.92,0.0
DUMMY_EX_141332_000117,Manager,1985-07-04,2010-09-02,,129601.08,129601.08,129601.08,3,3888.03,3888.03,1944.02
DUMMY_EX_803586_000118,Analyst,1974-09-05,2013-08-02,,68199.72,68199.72,68199.72,6,4091.98,2045.99,2045.99
DUMMY_EX_157534_000119,Manager,1978-08-07,2018-02-04,,197727.73,197727.73,197727.73,1,1977.28,5931.83,988.64
DUMMY_EX_944375_000120,Analyst,1990-06-22,2015-03-10,,75505.15,75505.15,75505.15,4,3020.21,2265.15,1510.1
DUMMY_EX_821325_000121,Analyst,1974-12-08,2015-12-02,,68763.69,68763.69,68763.69,2,1375.27,2062.91,687.64
DUMMY_EX_650906_000122,Analyst,1984-07-15,2012-11-23,,70079.12,70079.12,70079.12,3,2102.37,2102.37,1051.18
DUMMY_EX_637606_000123,Analyst,1978-10-25,2017-09-01,,79100.46,79100.46,79100.46,5,3955.02,2373.01,1977.51
DUMMY_EX_540566_000125,Analyst,1966-10-25,2008-09-21,,117099.27,117099.27,117099.27,3,3512.98,3512.98,1756.49
DUMMY_EX_289848_000126,Manager,1974-11-05,2013-11-25,,163230.9,163230.9,163230.9,5,8161.54,4896.93,4080.77
DUMMY_EX_899572_000127,Manager,1976-10-18,2016-01-04,,128111.13,128111.13,128111.13,9,11530.0,3843.33,3843.34
DUMMY_EX_316938_000128,Analyst,1983-06-08,2017-06-14,,62874.33,62874.33,62874.33,7,4401.2,1886.23,1886.23
DUMMY_EX_331751_000129,Analyst,1982-11-03,2008-02-24,,78232.76,78232.76,78232.76,4,3129.31,2346.98,1564.66
DUMMY_EX_540474_000131,Manager,1990-06-15,2019-12-30,,162393.08,162393.08,162393.08,6,9743.58,4871.79,4871.79
DUMMY_EX_442394_000132,Analyst,1987-10-05,2019-12-21,,84001.95,84001.95,84001.95,5,4200.1,2520.06,2100.05
DUMMY_EX_468620_000134,Analyst,1968-08-14,2011-08-05,,83402.24,83402.24,83402.24,0,0.0,2502.07,0.0
DUMMY_EX_383557_000135,Analyst,1982-11-02,2012-07-10,,79603.04,79603.04,79603.04,2,1592.06,2388.09,796.03
DUMMY_EX_339172_000136,Manager,1977-02-25,2014-06-27,,123281.76,123281.76,123281.76,3,3698.45,3698.45,1849.22
DUMMY_EX_425099_000137,Analyst,1973-04-15,2016-07-08,,52293.06,52293.06,52293.06,7,3660.51,1568.79,1568.79
DUMMY_EX_297106_000138,Director,1978-06-03,2011-09-29,,415514.61,415514.61,305000.0,6,20500.0,12465.44,10250.0
DUMMY_EX_722876_000139,Manager,1968-10-03,2018-04-05,,114693.86,114693.86,114693.86,8,9175.51,3440.82,3440.82
DUMMY_EX_222514_000140,Analyst,1978-10-04,2011-03-22,,90298.03,90298.03,90298.03,5,4514.9,2708.94,2257.45
DUMMY_EX_342772_000141,Analyst,1980-03-28,2011-05-28,,98904.37,98904.37,98904.37,6,5934.26,2967.13,2967.13
DUMMY_EX_205583_000142,Analyst,1973-04-10,2016-01-28,,71259.74,71259.74,71259.74,4,2850.39,2137.79,1425.2
DUMMY_EX_567554_000143,Analyst,1971-07-18,2011-11-03,,76548.21,76548.21,76548.21,4,3061.93,2296.45,1530.96
DUMMY_EX_450818_000144,Analyst,1986-05-04,2015-08-15,,74975.02,74975.02,74975.02,2,1499.5,2249.25,749.75
DUMMY_EX_993646_000145,Analyst,1982-12-18,2019-04-23,,97781.68,97781.68,97781.68,0,0.0,2933.45,0.0
DUMMY_EX_917032_000146,Director,1964-09-15,2016-01-02,,226595.71,226595.71,226595.71,7,15861.7,6797.87,6797.87
DUMMY_EX_396789_000147,Analyst,1976-10-05,2015-02-01,,76510.55,76510.55,76510.55,5,3825.53,2295.32,1912.76
DUMMY_EX_712511_000150,Director,1980-05-14,2010-05-03,,408109.66,408109.66,305000.0,2,8162.19,12243.29,4081.1
DUMMY_EX_237681_000151,Analyst,1958-03-02,2012-03-02,,69241.91,69241.91,69241.91,6,4154.51,2077.26,2077.26
DUMMY_EX_410009_000153,Analyst,1980-03-10,2012-04-15,,91488.25,91488.25,91488.25,15,13723.24,2744.65,2744.65
DUMMY_EX_196854_000154,Analyst,1989-05-03,2012-02-18,,95943.03,95943.03,95943.03,9,8634.87,2878.29,2878.29
DUMMY_EX_148026_000156,Analyst,1985-11-25,2012-03-20,,103560.01,103560.01,103560.01,7,7249.2,3106.8,3106.8
DUMMY_EX_430215_000157,Analyst,1975-07-04,2016-12-04,,72111.01,72111.01,72111.01,3,2163.33,2163.33,1081.66
DUMMY_EX_176877_000158,Analyst,1990-03-08,2018-12-10,,59828.82,59828.82,59828.82,0,0.0,1794.86,0.0
DUMMY_EX_788064_000159,Analyst,1979-02-25,2018-05-13,,113558.32,113558.32,113558.32,7,7949.08,3406.75,3406.75
DUMMY_EX_944280_000160,Analyst,1983-06-18,2010-03-17,,99340.57,99340.57,99340.57,5,4967.03,2980.22,2483.52
DUMMY_EX_956689_000161,Manager,1996-11-20,2019-07-14,,145715.38,145715.38,145715.38,5,7285.77,4371.46,3642.88
DUMMY_EX_932988_000162,Manager,1964-06-09,2017-08-23,,231913.04,231913.04,231913.04,0,0.0,6957.39,0.0
DUMMY_EX_932907_000163,Analyst,1980-12-08,2011-10-17,,73110.09,73110.09,73110.09,1,731.1,2193.3,365.55
DUMMY_EX_761197_000164,Manager,1967-08-06,2016-06-24,,165801.57,165801.57,165801.57,0,0.0,4974.05,0.0
DUMMY_EX_173182_000165,Analyst,1974-06-23,2014-02-02,,117765.02,117765.02,117765.02,10,11776.5,3532.95,3532.95
DUMMY_EX_471202_000166,Analyst,1982-05-22,2016-08-07,,78441.64,78441.64,78441.64,12,9413.0,2353.25,2353.25
DUMMY_EX_422327_000167,Analyst,1973-07-20,2016-05-27,,80273.23,80273.23,80273.23,9,7224.59,2408.2,2408.2
DUMMY_EX_366301_000168,Analyst,1975-11-01,2017-01-31,,86920.43,86920.43,86920.43,5,4346.02,2607.61,2173.01
DUMMY_EX_470372_000169,Manager,1981-04-05,2014-05-16,,98246.12,98246.12,98246.12,0,0.0,2947.38,0.0
DUMMY_EX_525551_000170,Manager,1985-12-03,2016-10-14,,158281.56,158281.56,158281.56,0,0.0,4748.45,0.0
DUMMY_EX_143734_000171,Manager,1975-07-02,2015-12-21,,151779.18,151779.18,151779.18,5,7588.96,4553.38,3794.48
DUMMY_EX_987066_000174,Analyst,1989-01-21,2017-01-07,,82206.69,82206.69,82206.69,7,5754.47,2466.2,2466.2
DUMMY_EX_694781_000176,Manager,1988-06-05,2015-02-14,,131867.02,131867.02,131867.02,12,15824.04,3956.01,3956.01
DUMMY_EX_324767_000178,Manager,1982-02-12,2017-06-01,,94242.77,94242.77,94242.77,7,6596.99,2827.28,2827.28
DUMMY_EX_953297_000179,Manager,1970-01-07,2014-01-15,,156600.95,156600.95,156600.95,5,7830.05,4698.03,3915.02
DUMMY_EX_690386_000180,Manager,1977-03-20,2016-03-05,,143992.08,143992.08,143992.08,1,1439.92,4319.76,719.96
DUMMY_EX_574373_000181,Manager,1978-04-16,2015-07-15,,124172.81,124172.81,124172.81,0,0.0,3725.18,0.0
DUMMY_EX_569570_000182,Manager,1982-04-02,2016-12-21,,174680.08,174680.08,174680.08,5,8734.0,5240.4,4367.0
DUMMY_EX_620296_000183,Analyst,1990-08-10,2019-02-28,,71146.62,71146.62,71146.62,5,3557.33,2134.4,1778.66
DUMMY_EX_550908_000184,Manager,1981-02-25,2015-05-04,,162951.45,162951.45,162951.45,7,11406.6,4888.54,4888.54
DUMMY_EX_257363_000185,Analyst,1989-11-26,2019-09-17,,80950.89,80950.89,80950.89,2,1619.02,2428.53,809.51
DUMMY_EX_268572_000186,Analyst,1969-05-22,2018-07-26,,79942.59,79942.59,79942.59,4,3197.7,2398.28,1598.85
DUMMY_EX_263520_000188,Analyst,1991-10-14,2015-10-19,,63678.85,63678.85,63678.85,5,3183.94,1910.37,1591.97
DUMMY_EX_570254_000190,Analyst,1985-01-09,2015-06-17,,89070.5,89070.5,89070.5,10,8907.05,2672.12,2672.12
